id;name;price;picture_url;faction;vendu
ALT_COREKS_B_OR_06_U_3401;Cadets Ordis;130;https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_OR_06/UNIQUE/JPG/fr_FR/5823fa0efa580e31f235f680693b81d9.jpg;ordis;0
ALT_COREKS_B_OR_11_U_4037;Ozma;16;https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_OR_11/UNIQUE/JPG/fr_FR/fd314e6846d0f017d70f906bef83a323.jpg;ordis;0
ALT_COREKS_B_OR_14_U_2696;Espionne Ordis;50;https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_OR_14/UNIQUE/JPG/en_US/383a913d5260896a604c6f7fc756b2cd.jpg;ordis;0
ALT_COREKS_B_OR_14_U_3506;Espionne Ordis;28;https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_OR_14/UNIQUE/JPG/fr_FR/415184e8ceda2d89c84c91388bb07154.jpg;ordis;0
ALT_COREKS_B_OR_15_U_171;Kakoba, Commandant de Légion;14;https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_OR_15/UNIQUE/JPG/fr_FR/52b7fbb47dd068a9b910dcc2281d5463.jpg;ordis;0
ALT_COREKS_B_YZ_09_U_2392;Dame du Lac;2;https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_YZ_09/UNIQUE/JPG/fr_FR/70f5b314c59531eb3d1c00df58150400.jpg;yzmir;0
ALT_COREKS_B_YZ_09_U_2476;Dame du Lac;8;https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_YZ_09/UNIQUE/JPG/fr_FR/550520fba7a0137c5b849c9c60394a72.jpg;yzmir;0
ALT_COREKS_B_YZ_10_U_620;Baku;8;https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_YZ_10/UNIQUE/JPG/fr_FR/c937a13b2834e4b3e3787acae4f751fe.jpg;yzmir;0
ALT_COREKS_B_YZ_10_U_961;Baku;30;https://altered-prod-eu.s3.amazonaws.com/Art/COREKS/CARDS/ALT_CORE_B_YZ_10/UNIQUE/JPG/fr_FR/885f75737222e83a5344fb3d6a7bc588.jpg;yzmir;0
ALT_CORE_B_AX_08_U_3103;Récupérateur Axiom;3;https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_08/UNIQUE/JPG/fr_FR/dd20bc99426d86c9f2081c783cdc3277.jpg;bravos;0
ALT_CORE_B_AX_08_U_4643;Récupérateur Axiom;28;https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_08/UNIQUE/JPG/fr_FR/7d0a01b20d4c1261d89b5093ca55a13d.jpg;bravos;0
ALT_CORE_B_AX_08_U_5311;Récupérateur Axiom;60;https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_AX_08/UNIQUE/JPG/fr_FR/27de9c2151376f1cac918f936f8a7021.jpg;bravos;0
ALT_CORE_B_BR_09_U_6363;Aspirant de Havre;2;https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_09/UNIQUE/JPG/fr_FR/27a7751f7cab13a2c146acc9778a7aeb.jpg;ordis;0
ALT_CORE_B_BR_17_U_6435;Guerrière de Havre;2;https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_BR_17/UNIQUE/JPG/fr_FR/281ea1503f524f3d34666a0ef9b148be.jpg;ordis;0
ALT_CORE_B_LY_09_U_5406;Tanuki;23;https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_09/UNIQUE/JPG/fr_FR/fed31e11c596fb1daa0b853b1a4287e0.jpg;bravos;0
ALT_CORE_B_LY_10_U_3023;Encrière de l'Ouroboros;23;https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_10/UNIQUE/JPG/fr_FR/f34c08a842c6baa6f37d39fc437978d9.jpg;axiom;0
ALT_CORE_B_LY_10_U_3069;Encrière de l'Ouroboros;15;https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_10/UNIQUE/JPG/fr_FR/67b94a12c9b45a1a19b2f68cfcbdf9cd.jpg;axiom;0
ALT_CORE_B_LY_11_U_2965;Esmeralda;45;https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_11/UNIQUE/JPG/fr_FR/ddec45359fc63ade1a35faaf851166fd.jpg;lyra;0
ALT_CORE_B_LY_11_U_3163;Esmeralda;25;https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_11/UNIQUE/JPG/fr_FR/0b3f3b3cdb31bb71d7093b5b6cf9f9c0.jpg;lyra;0
ALT_CORE_B_LY_13_U_3734;Anansi;120;https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_13/UNIQUE/JPG/fr_FR/73c79e2243519a424cb31ec7220c5a65.jpg;axiom;0
ALT_CORE_B_LY_14_U_3490;Danseuse d'Étoffe Lyra;24;https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_LY_14/UNIQUE/JPG/fr_FR/886d9f14f10209f1d71d8337ae46575d.jpg;lyra;0
ALT_CORE_B_MU_06_U_5968;Vendangeurs du Fuseau;28;https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_MU_06/UNIQUE/JPG/fr_FR/d54417b185c7e55ec68a24325bbc1e85.jpg;yzmir;0
ALT_CORE_B_MU_06_U_6165;Vendangeurs du Fuseau;34;https://altered-prod-eu.s3.amazonaws.com/Art/CORE/CARDS/ALT_CORE_B_MU_06/UNIQUE/JPG/fr_FR/0e991d77b4db02bc229520a586e1040b.jpg;yzmir;0
